Neighborhoods,Average Price 
Tribeca,10561358.47
Chelsea,6839125
Upper East Side,6018091.82
Greenwich Village,5883836.96
Soho,5349435.48
Gramercy Park,4659667.63
Brooklyn Heights,3912979.22
Upper West Side,3288612.32
East Village,3201552.53
Boerum Hill,3047500
Lower East Side,2795000
Williamsburg,2730615.31
Carroll Gardens,2705636.36
Murray Hill,2652422.02
Park Slope,2427759.59
