,Address,Property Type, Price ,Beds,Bath, Square Feet ,Brokerages,Borough,Zipcode,Neighborhood,Neighborhood Safety Rating,Longitude,Latitude,Down Payment,Mortgage Rate,Years,Loan Amount,Loan Payment per month,Property Tax Per Month,Homeowner Insurance, Utility ,Total Payments,Reccomended Occupancy,Maximum Occupancy,Perception
3830,"32-50 53 PlWoodside, NY 11377",House ,"$899,000.00 ",3,1,"2,184", Amorelli Realty LLC,Queens,11377,West Queens,C,-73.9077947,40.7543613,"$179,800.00 ",6.75%,30,"$719,200.00 ","$4,664.72 ",$912.89 ,$187.29 ,$600 ,"$6,364.90 ",6,18,
3831,"2845 Decatur AveBronx, NY 10458",House ,"$699,000.00 ",5,4,"1,838", Call It Home Realty LLC,Bronx,10458,Fordham,D,-73.8849595,40.8677282,"$139,800.00 ",6.75%,30,"$559,200.00 ","$3,626.96 ",$709.80 ,$145.63 ,$160 ,"$4,642.39 ",10,8,
3832,"158-20 77 AveFresh Meadows, NY 11366",Multi-family home ,"$904,000.00 ",4,3,"2,184", Promise Realty LLC,Queens,11366,Central Queens,B,-73.8094885,40.7236308,"$180,800.00 ",6.75%,30,"$723,200.00 ","$4,690.66 ",$917.97 ,$188.33 ,$600 ,"$6,396.96 ",8,11,
3833,"91-09 95th StWoodhaven, NY 11421",House ,"$669,000.00 ",3,1,"2,184", Parkside Realty Of Queens Inc,Queens,11421,Southwest Queens,B,-73.8484421,40.6899622,"$133,800.00 ",6.75%,30,"$535,200.00 ","$3,471.30 ",$679.34 ,$139.38 ,$600 ,"$4,890.01 ",6,18,
3834,"99-05 63rd Dr Unit 14URego Park, NY 11374",Co-op ,"$279,000.00 ",1,1,"2,184", E Z Sell Realty,Queens,11374,West Central Queens,B,-73.85773,40.7312899,"$55,800.00 ",6.75%,30,"$223,200.00 ","$1,447.67 ",$283.31 ,$58.13 ,$375 ,"$2,164.11 ",2,18,
3835,"17-85 215th St Unit 6KBayside, NY 11360",Co-op ,"$330,000.00 ",1,1,656, NEXTHOME PLATINUM PROPERTIES,Queens,11360,North Queens,B,-73.7761962,40.7843012,"$66,000.00 ",6.75%,30,"$264,000.00 ","$1,712.30 ",$335.10 ,$68.75 ,$205 ,"$2,321.15 ",2,5,
3837,"220 E 73rd St Unit 8GNew York, NY 10021",Co-op ,"$399,000.00 ",3,1,"2,184", CLAS ,Manhattan,10021,Upper East Side,A,-73.9590126,40.7697297,"$79,800.00 ",6.75%,30,"$319,200.00 ","$2,070.33 ",$405.16 ,$83.13 ,$600 ,"$3,158.61 ",6,18,
3838,"609 Columbus Ave Apt 18DNew York, NY 10024",Co-op ,"$740,000.00 ",2,1,"2,184", Corcoran,Manhattan,10024,Upper East Side,A,-73.9700091,40.7887084,"$148,000.00 ",6.75%,30,"$592,000.00 ","$3,839.70 ",$751.43 ,$154.17 ,"$1,400 ","$6,145.30 ",4,18,
3839,"665 Nasby PlFar Rockaway, NY 11691",House ,"$590,000.00 ",5,3,"1,152", Macaluso Realty,Queens,11691,Rockaway,C,-73.7587155,40.6019328,"$118,000.00 ",6.75%,30,"$472,000.00 ","$3,061.38 ",$599.12 ,$122.92 ,"$1,700 ","$5,483.42 ",10,6,
3841,"134 E 35th StBrooklyn, NY 11203",House ,"$1,250,000.00 ",3,2,"2,049", Coordinate,Brooklyn,11203,Flatbush,C,-73.9451094,40.6520971,"$250,000.00 ",6.75%,30,"$1,000,000.00 ","$6,485.98 ","$1,269.31 ",$260.42 ,$600 ,"$8,615.71 ",6,13,
