,Address,Property Type, Price ,Beds,Bath, Square Feet ,Brokerages,Borough,Zipcode,Neighborhood,Neighborhood Safety Rating,Longitude,Latitude,Down Payment,Mortgage Rate,Years,Loan Amount,Loan Payment per month,Property Tax Per Month,Homeowner Insurance, Utility ,Total Payments,Reccomended Occupancy,Maximum Occupancy,Perception
145,"204-34 9th AveQueens, NY 11697",House ,"$1,099,000.00 ",4,2,"2,184", Corcoran,Queens,11697,Rockaway,C,-73.9147409,40.5595612,"$219,800.00 ",6.75%,30,"$879,200.00 ","$5,702.47 ","$1,115.98 ",$228.96 ,$550 ,"$7,597.41 ",8,14,
146,"1383 Plimpton Ave Apt 1CBronx, NY 10452",Co-op ,"$90,000.00 ",1,1,450, RE MAX,Bronx,10452,High Bridge,D,-73.9234444,40.8423705,"$18,000.00 ",6.75%,30,"$72,000.00 ",$466.99 ,$91.39 ,$18.75 ,$600 ,"$1,177.13 ",2,4,
147,"158-35 87th StHoward Beach, NY 11414",House ,"$839,000.00 ",4,2,"2,184", Laffey Real Estate,Queens,11414,nan,,-73.8451972,40.6590909,"$167,800.00 ",6.75%,30,"$671,200.00 ","$4,353.39 ",$851.96 ,$174.79 ,$600 ,"$5,980.14 ",8,14,
148,"148-05 111th AveJamaica, NY 11435",House ,"$659,000.00 ",8,3,"2,184", CENTURY 21 PROFESSIONAL REALTY,Queens,11435,Jamaica,D,-73.796529,40.688533,"$131,800.00 ",6.75%,30,"$527,200.00 ","$3,419.41 ",$669.18 ,$137.29 ,$600 ,"$4,825.88 ",16,11,
150,"178 Beach 24th StFar Rockaway, NY 11691",House ,"$399,999.00 ",3,1,"2,184", Anthony Napolitano Homes,Queens,11691,Rockaway,C,-73.7577376,40.5950021,"$79,999.80 ",6.75%,30,"$319,999.20 ","$2,075.51 ",$406.18 ,$83.33 ,$600 ,"$3,165.02 ",6,18,
151,"3105 Avenue V Apt 1FBrooklyn, NY 11229",Condo ,"$250,000.00 ",3,1,"2,184", Homefinders of SI Inc.,Brooklyn,11229,South Brooklyn,C,-73.9344974,40.5997081,"$50,000.00 ",6.75%,30,"$200,000.00 ","$1,297.20 ",$253.86 ,$52.08 ,$550 ,"$2,153.14 ",6,18,
152,"The Rockwell # 6HNew York, NY 10025",For sale,"$1,740,000.00 ",2,2,"1,132", Toll Brothers,Manhattan,10025,Upper East Side,A,-73.9679035,40.7986579,"$348,000.00 ",6.75%,30,"$1,392,000.00 ","$9,028.49 ","$1,766.88 ",$362.50 ,"$3,000 ","$14,157.87 ",4,7,
153,"115115 220th StCambria Heights, NY 11411",House ,"$650,000.00 ",4,2,"2,244", Epiphany Realty Llc,Queens,11411,Southwest Queens,B,-73.7390395,40.6968706,"$130,000.00 ",6.75%,30,"$520,000.00 ","$3,372.71 ",$660.04 ,$135.42 ,$600 ,"$4,768.17 ",8,14,
154,"67 Dexter AveStaten Island, NY 10309",House ,"$1,165,000.00 ",3,4,"3,500", RE MAX,Staten Island,10309,South Shore,A,-74.2155251,40.5397292,"$233,000.00 ",6.75%,30,"$932,000.00 ","$6,044.93 ","$1,183.00 ",$242.71 ,$550 ,"$8,020.64 ",6,15,
155,"447 Vernon AveStaten Island, NY 10309",House ,"$729,900.00 ",3,2,"1,150"," Homes R Us Realty of NY, Inc.",Staten Island,10309,South Shore,A,-74.1981906,40.5302132,"$145,980.00 ",6.75%,30,"$583,920.00 ","$3,787.29 ",$741.18 ,$152.06 ,$205 ,"$4,885.53 ",6,7,
156,"3758 Bayview AveBrooklyn, NY 11224",House ,"$1,880,000.00 ",3,4,"3,150", Winzone Realty Inc,Brooklyn,11224,South Brooklyn,C,-74.0061062,40.5805262,"$376,000.00 ",6.75%,30,"$1,504,000.00 ","$9,754.92 ","$1,909.05 ",$391.67 ,$160 ,"$12,215.63 ",6,13,
157,"26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",Co-op ,"$449,000.00 ",2,2,"1,549", Charles H. Greenthal Property,Queens,11005,Southwest Queens,B,-73.7159564,40.7577991,"$89,800.00 ",6.75%,30,"$359,200.00 ","$2,329.76 ",$455.94 ,$93.54 ,$375 ,"$3,254.24 ",4,10,
158,"251 Beach 140th StRockaway Park, NY 11694",House ,"$1,175,000.00 ",3,2,"2,250", Keller Williams City Views,Queens,11694,Rockaway,C,-73.8577786,40.57372,"$235,000.00 ",6.75%,30,"$940,000.00 ","$6,096.82 ","$1,193.15 ",$244.79 ,$600 ,"$8,134.77 ",6,14,
159,"16 Gay StNew York, NY 10014",Townhouse ,"$2,750,000.00 ",3,2,"2,184"," Garfield, Leslie J. & Co., Inc.",Manhattan,10014,Soho,A,-74.000518,40.7336687,"$550,000.00 ",6.75%,30,"$2,200,000.00 ","$14,269.16 ","$2,792.49 ",$572.92 ,$160 ,"$17,794.56 ",6,14,
160,"159-03 83rd StHoward Beach, NY 11414",House ,"$995,000.00 ",3,2,"2,184", Hauseit LLC,Queens,11414,nan,,-73.8489131,40.657686,"$199,000.00 ",6.75%,30,"$796,000.00 ","$5,162.84 ","$1,010.37 ",$207.29 ,$600 ,"$6,980.51 ",6,14,
161,"200 Rector Pl Unit 27EFManhattan, NY 10280",Condo ,"$2,000,000.00 ",3,2,"2,000", COMPASS,Manhattan,10280,Lower Manhattan,A,-74.0161953,40.7086444,"$400,000.00 ",6.75%,30,"$1,600,000.00 ","$10,377.57 ","$2,030.90 ",$416.67 ,$600 ,"$13,425.14 ",6,13,
162,"126 Pierrepont StBrooklyn, NY 11201",Townhouse ,"$15,000,000.00 ",8,6,"2,184", Leven Real Estate ,Brooklyn,11201,Northwest Brooklyn,A,-73.9925741,40.6948972,"$3,000,000.00 ",6.75%,30,"$12,000,000.00 ","$77,831.77 ","$15,231.75 ","$3,125.00 ",$600 ,"$96,788.52 ",16,7,
163,"25 Copperleaf TerStaten Island, NY 10304",House ,"$2,800,000.00 ",4,6,"8,333", RE MAX,Staten Island,10304,Stapleton,D,-74.1075476,40.5861193,"$560,000.00 ",6.75%,30,"$2,240,000.00 ","$14,528.60 ","$2,843.26 ",$583.33 ,"$1,400 ","$19,355.19 ",8,26,
164,"214-42 27th AveBayside, NY 11360",House ,"$2,600,000.00 ",5,4,"3,024", Keller Williams,Queens,11360,North Queens,B,-73.7739629,40.7780417,"$520,000.00 ",6.75%,30,"$2,080,000.00 ","$13,490.84 ","$2,640.17 ",$541.67 ,$600 ,"$17,272.68 ",10,13,
165,"51 Hamilton TerNew York, NY 10031",Townhouse ,"$3,500,000.00 ",6,6,"6,000", Corcoran,Manhattan,10031,Washington Heights,C,-73.9460622,40.8229141,"$700,000.00 ",6.75%,30,"$2,800,000.00 ","$18,160.75 ","$3,554.08 ",$729.17 ,$600 ,"$23,043.99 ",12,19,
166,"609 Columbus Ave Apt 10INew York, NY 10024",Co-op ,"$550,000.00 ",1,1,"2,184", Corcoran,Manhattan,10024,Upper East Side,A,-73.9700091,40.7887084,"$110,000.00 ",6.75%,30,"$440,000.00 ","$2,853.83 ",$558.50 ,$114.58 ,$375 ,"$3,901.91 ",2,18,
167,"290 Lake AveStaten Island, NY 10303",Pending,"$769,000.00 ",3,4,"2,184", E House Realty & Mgt. Inc.,Staten Island,10303,Port Richmond,C,-74.1518654,40.6291962,"$153,800.00 ",6.75%,30,"$615,200.00 ","$3,990.18 ",$780.88 ,$160.21 ,$375 ,"$5,306.26 ",6,9,
168,"2519 Mill AveBrooklyn, NY 11234",House ,"$675,000.00 ",3,2,"2,400", TALK OF THE TOWN REALTY C,Brooklyn,11234,Canarsie,B,-73.91065,40.610206,"$135,000.00 ",6.75%,30,"$540,000.00 ","$3,502.43 ",$685.43 ,$140.63 ,$205 ,"$4,533.48 ",6,15,
169,"48 Princewood AveStaten Island, NY 10309",House ,"$879,000.00 ",4,2,"1,238", Gateway Arms Realty Corp.,Staten Island,10309,South Shore,A,-74.1983282,40.5273247,"$175,800.00 ",6.75%,30,"$703,200.00 ","$4,560.94 ",$892.58 ,$183.13 ,$205 ,"$5,841.65 ",8,8,
170,"30-36 88th StEast Elmhurst, NY 11369",House ,"$918,888.00 ",3,2,"2,184", Keller Williams,Queens,11369,West Queens,C,-73.880887,40.760703,"$183,777.60 ",6.75%,30,"$735,110.40 ","$4,767.91 ",$933.08 ,$191.44 ,$600 ,"$6,492.43 ",6,14,
171,"396 A 9th St Unit 2Brooklyn, NY 11215",Townhouse ,"$2,400,000.00 ",4,2,"1,892", COMPASS,Brooklyn,11215,Northwest Brooklyn,A,-73.9832146,40.6674938,"$480,000.00 ",6.75%,30,"$1,920,000.00 ","$12,453.08 ","$2,437.08 ",$500.00 ,"$2,000 ","$17,390.16 ",8,12,
172,"45-12 244th StLittle Neck, NY 11362",House ,"$1,730,000.00 ",6,2.5,"3,024", Jamie & Connie Real Estate Grp,Queens,11362,Northeast Queens,A,-73.7422005,40.765022,"$346,000.00 ",6.75%,30,"$1,384,000.00 ","$8,976.60 ","$1,756.73 ",$360.42 ,$205 ,"$11,298.74 ",12,17,
173,"755 Coster StBronx, NY 10474",Multi-family home ,"$425,000.00 ",5,2,"2,184", Sowae Corp,Bronx,10474,Hunts Point,F,-73.8881001,40.8159966,"$85,000.00 ",6.75%,30,"$340,000.00 ","$2,205.23 ",$431.57 ,$88.54 ,$600 ,"$3,325.34 ",10,14,
174,"33-02 Parsons BlvdFlushing, NY 11354",House ,"$2,500,000.00 ",5,2.5,"1,450", East Coast REALTORS Inc,Queens,11354,North Queens,B,-73.8246067,40.7679673,"$500,000.00 ",6.75%,30,"$2,000,000.00 ","$12,971.96 ","$2,538.63 ",$520.83 ,$600 ,"$16,631.42 ",10,8,
175,"336 Bethel AveStaten Island, NY 10307",House ,"$998,000.00 ",4,4,"2,000", RE MAX,Staten Island,10307,South Shore,A,-74.235145,40.515251,"$199,600.00 ",6.75%,30,"$798,400.00 ","$5,178.41 ","$1,013.42 ",$207.92 ,$205 ,"$6,604.74 ",8,8,
176,"222 Hart BlvdStaten Island, NY 10301",House ,"$1,195,000.00 ",4,4,"2,688", Coldwell Banker,Staten Island,10301,Stapleton,D,-74.1005274,40.6296431,"$239,000.00 ",6.75%,30,"$956,000.00 ","$6,200.60 ","$1,213.46 ",$248.96 ,$600 ,"$8,263.02 ",8,11,
177,"1217 84th StBrooklyn, NY 11228",House ,"$1,649,000.00 ",3,2,"2,052", RE MAX,Brooklyn,11228,Southwest Brooklyn,B,-74.0142443,40.6164182,"$329,800.00 ",6.75%,30,"$1,319,200.00 ","$8,556.31 ","$1,674.48 ",$343.54 ,$600 ,"$11,174.32 ",6,13,
178,"82 Vineland AveStaten Island, NY 10312",House ,"$955,000.00 ",4,4,"2,100"," Homes R Us Realty of NY, Inc.",Staten Island,10312,South Shore,A,-74.1840649,40.551184,"$191,000.00 ",6.75%,30,"$764,000.00 ","$4,955.29 ",$969.75 ,$198.96 ,$600 ,"$6,724.00 ",8,9,
179,"117-37 141st StJamaica, NY 11436",Multi-family home ,"$949,000.00 ",6,3,"2,184", LJ Realty Team Inc,Queens,11436,Jamaica,D,-73.800094,40.677393,"$189,800.00 ",6.75%,30,"$759,200.00 ","$4,924.16 ",$963.66 ,$197.71 ,$375 ,"$6,460.53 ",12,11,
180,"190-16 33rd AveFlushing, NY 11358",House ,"$880,000.00 ",3,2,"1,743", Keller Williams,Queens,11358,North Queens,B,-73.7911175,40.7668312,"$176,000.00 ",6.75%,30,"$704,000.00 ","$4,566.13 ",$893.60 ,$183.33 ,$375 ,"$6,018.06 ",6,11,
181,"145 Reade StManhattan, NY 10013",Townhouse ,"$39,995,000.00 ",4,2.5,"10,582", COMPASS,Manhattan,10013,Soho,A,-74.0101197,40.7164224,"$7,999,000.00 ",6.75%,30,"$31,996,000.00 ","$207,525.45 ","$40,612.92 ","$8,332.29 ",$375 ,"$256,845.66 ",8,59,
182,"246 E 58th St # ThNew York, NY 10022",Townhouse ,"$1,250,000.00 ",8,2.5,"2,184", Sotheby's International Realty ,Manhattan,10022,Gramercy Park,A,-73.9653546,40.7600248,"$250,000.00 ",6.75%,30,"$1,000,000.00 ","$6,485.98 ","$1,269.31 ",$260.42 ,"$2,000 ","$10,015.71 ",16,12,
